entity_id,entity_type,district,weather,temperature,timestamp,peak_hour,energy_consumed_kwh,energy_generated_kwh,grid_usage_kwh,energy_price,carbon_emission_kg,anomaly
1,House,District-E,Cloudy,17,2026-05-29 08:55:41,Yes,25.61,14.95,10.66,0.17,4.8,No
2,SolarFarm,District-C,Windy,20,2026-05-10 23:55:41,No,171.75,3461.53,0,0.17,0.0,No
3,SolarFarm,District-B,Cloudy,21,2026-05-19 11:55:41,No,373.02,4475.68,0,0.3,0.0,No
4,Hospital,District-A,Rainy,40,2026-06-05 18:55:41,Yes,1062.78,144.08,918.7,0.39,413.42,No
5,Factory,District-B,Windy,23,2026-06-01 03:55:41,No,1486.36,285.62,1200.74,0.2,540.33,No
6,House,District-A,Rainy,34,2026-05-24 04:55:41,No,31.24,1.05,30.19,0.24,13.59,No
7,Office,District-B,Rainy,41,2026-05-11 01:55:41,No,130.45,38.95,91.5,0.16,41.18,No
8,SolarFarm,District-A,Sunny,42,2026-05-24 09:55:41,Yes,204.29,5485.7,0,0.2,0.0,No
9,Apartment,District-D,Rainy,18,2026-05-25 03:55:41,No,76.12,10.95,65.17,0.22,29.33,No
10,University,District-D,Sunny,20,2026-05-17 07:55:41,Yes,551.99,17.04,534.95,0.19,240.73,No
11,University,District-A,Windy,31,2026-05-24 06:55:41,No,302.07,64.2,237.87,0.26,107.04,No
12,SolarFarm,District-C,Rainy,42,2026-05-17 01:55:41,No,374.75,1767.94,0,0.35,0.0,No
13,School,District-D,Cloudy,25,2026-05-19 07:55:41,Yes,295.45,52.25,243.2,0.17,109.44,No
14,Office,District-E,Windy,24,2026-06-06 06:55:41,No,252.96,120.54,132.42,0.39,59.59,No
15,University,District-B,Sunny,43,2026-05-13 23:55:41,No,380.69,194.41,186.28,0.19,83.83,No
16,SolarFarm,District-A,Sunny,36,2026-06-03 01:55:41,No,403.97,5502.51,0,0.31,0.0,No
17,University,District-E,Sunny,19,2026-05-25 20:55:41,Yes,461.09,275.83,185.26,0.37,83.37,No
18,Office,District-D,Cloudy,17,2026-05-24 15:55:41,No,394.34,49.84,344.5,0.24,155.03,No
19,University,District-D,Sunny,26,2026-05-11 22:55:41,Yes,464.65,25.82,438.83,0.29,197.47,No
